name,popularity,total_rating,esrb
Ganbare Goemon 2: Kiteretsu Shogun Magginesu,2.0,83.68997957753331,
AstroBlast,1.333333333333333,80.0,
Blade II,1.333333333333333,NaN,6.0
40 Winks,1.666666666666667,53.03158845476595,3.0
The Legend of Heroes: Trails of Cold Steel,1.333333333333333,69.16666666666666,5.0
Fate/Extra,1.333333333333333,NaN,5.0
Shaun White Snowboarding: World Stage,1.333333333333333,62.5,3.0
My Virtual Tutor: Reading Pre-K to Kindergarten,1.666666666666667,71.25,2.0
Skylanders: Swap Force,2.0,87.0,4.0
A Collection of Intellivision Classic Games,2.0,NaN,3.0
Monsters vs. Aliens,2.0,85.0457132718273,4.0
Silent Hill: Shattered Memories,8.0,80.0,
Bruce Lee: Quest of the Dragon,1.666666666666667,NaN,5.0
Spin Jam,1.333333333333333,61.1034290548202,
Kuru Kuru Kururin,1.333333333333333,86.99458383238995,
The Emperor's New Groove,3.666666666666667,53.3333333333333,3.0
Disney's Stitch: Experiment 626,1.333333333333333,89.67017937829145,3.0
RPG Tsukuru 2,1.333333333333333,71.40633179638306,
Yuu Yuu Hakusho 2: Kakutou no Sho,1.0,70.16666666666666,
Orphen: Scion of Sorcery,5.333333333333333,50.0,
Lego Legends of Chima: Laval's Journey,1.333333333333333,78.25,4.0
Imagine: Family Doctor,1.333333333333333,67.7916922896958,3.0
Magna Carta 2,1.666666666666667,NaN,5.0
Ultimate Spider-Man,2.0,NaN,5.0
Nicktoons: Battle for Volcano Island,1.333333333333333,NaN,3.0
Midtown Madness 3,1.333333333333333,NaN,3.0
Shrek: Swamp Kart Speedway,2.333333333333333,72.3333333333333,
One Piece: Unlimited World RED,19.0,66.25,
Alien: Isolation,4.666666666666666,74.9834106468334,6.0
Smoking Guns: Shooting Gallery!,2.333333333333333,52.5,
Virtua Cop 2,1.333333333333333,80.61778704849274,5.0
Ehrgeiz,1.333333333333333,NaN,5.0
Kanji Trainer Portable,1.333333333333333,NaN,
Karaoke Revolution Glee: Volume 3,10.66666666666667,NaN,5.0
Spyro: Attack of the Rhynocs,4.0,NaN,3.0
"Army Men: World War - Land, Sea, Air",1.333333333333333,NaN,
Dai-2-Ji Super Robot Taisen,1.333333333333333,NaN,
Stranglehold,1.0,41.5,
Trauma Center: New Blood,3.666666666666667,77.5,5.0
Shrek the Third,1.333333333333333,76.39690801600514,4.0
Lumines II,2.333333333333333,NaN,3.0
NES Remix,1.333333333333333,50.0,3.0
1701 A.D.,1.333333333333333,55.42871184907645,
Jumping Flash!,1.333333333333333,81.5,3.0
Karaoke Revolution Party,1.333333333333333,64.0,4.0
Batman: The Brave and the Bold – The Videogame,1.333333333333333,76.43917747234954,4.0
Burnout,1.333333333333333,72.86704982778895,
Lizzie McGuire 3: Homecoming Havoc,1.333333333333333,66.5625,3.0
Chaos Legion,1.333333333333333,NaN,5.0
PowerUp Heroes,5.0,54.33333333333335,
NASCAR The Game: 2011,1.333333333333333,NaN,3.0
Puyo Puyo 7,2.333333333333333,69.5814703029351,
Shrek Forever After,3.0,71.4996024500121,4.0
Charlie and the Chocolate Factory,1.333333333333333,67.50686084336354,3.0
Neopets: The Darkest Faerie,1.333333333333333,73.08804853118136,3.0
Blazing Heroes,3.333333333333333,NaN,
Rhythm Tengoku,1.333333333333333,62.0,
Super Robot Taisen W,2.333333333333333,80.09067608933114,
CART World Series,1.333333333333333,60.0,
Invizimals: Shadow Zone,2.666666666666667,72.35581097726799,4.0
24: The Game,1.333333333333333,NaN,6.0
Spider-Man 3,3.666666666666667,80.75,5.0
The Dukes of Hazzard II: Daisy Dukes it Out,2.0,NaN,
Famista '90,1.666666666666667,60.0773176586372,
Squinkies,1.333333333333333,67.2411409387094,3.0
Zoo Tycoon 2 DS,1.333333333333333,75.0,
Looney Tunes: Duck Amuck,1.333333333333333,70.0,3.0
Super Robot Wars OG: Original Generations,2.333333333333333,67.0,
Drakengard 3,1.333333333333333,57.65079365079365,6.0
DecAthlete,1.333333333333333,NaN,
The Sims 2,21.33333333333333,NaN,5.0
Disgaea 3: Absence of Detention,1.333333333333333,76.8661061796085,5.0
Tom Clancy's Splinter Cell 3D,3.666666666666667,75.0,
DmC: Devil May Cry,1.333333333333333,77.86945709894829,6.0
Jonas,1.666666666666667,NaN,
Dynasty Warriors 6,1.333333333333333,70.86581196536895,5.0
Wacky Races: Crash & Dash,1.333333333333333,70.9032662775498,3.0
Dynasty Warriors 8: Xtreme Legends,1.666666666666667,76.42298395225654,5.0
Toukiden: Kiwami,3.666666666666667,50.0,5.0
Sengoku Basara: Samurai Heroes,1.333333333333333,77.4210108220896,
Romance of the Three Kingdoms VIII,3.333333333333333,59.4770400695152,
Fossil Fighters,1.666666666666667,62.5,3.0
Daikaijyuu Monogatari: The Miracle of the Zone II,1.666666666666667,88.09834410736326,
Tropico 5,4.333333333333334,74.042923940965,5.0
Hard Hitter Tennis,4.0,52.3017778246112,3.0
Glory of Heracles,1.333333333333333,64.50494801563555,
Monster Truck Madness 64,1.333333333333333,67.5,3.0
Quake II,1.333333333333333,NaN,6.0
Swag IQ,1.666666666666667,70.0,
Crazy Taxi: Catch a Ride,2.666666666666667,NaN,3.0
MySims Party,1.666666666666667,NaN,3.0
Harry Potter and the Order of the Phoenix,1.333333333333333,78.1062092437731,4.0
Skylanders: SuperChargers,1.333333333333333,72.51235227347075,4.0
Macross Digital Mission VF-X,1.333333333333333,48.7,
One Piece: Unlimited Cruise SP,19.0,64.54578655606565,
Rayman 2: Revolution,6.666666666666667,63.3333333333333,
Yu Yu Hakusho: Ghost Files: Dark Tournament,1.333333333333333,87.5,5.0
Super Bomberman 5,2.0,30.0,
N3: Ninety-Nine Nights,1.333333333333333,71.0,6.0
Shin Megami Tensei: Persona 2 Innocent Sin,2.0,79.16666666666666,
Army Men: Air Attack 2,5.333333333333333,81.5004942596662,5.0
Need for Speed: Most Wanted,1.333333333333333,58.0,5.0
NBA Live 2003,3.0,NaN,
Pride FC: Fighting Championships,1.333333333333333,79.9803423718259,6.0
Eternal Ring,1.333333333333333,78.49243651434693,5.0
Dragon Force,10.33333333333333,NaN,
John Deere: Harvest in the Heartland,1.333333333333333,85.7867685185814,
Rabbids: Alive & Kicking,1.333333333333333,74.25,
Shin Megami Tensei: Devil Summoner: Soul Hackers,2.666666666666667,NaN,
Winning Post 2,1.333333333333333,65.0,
Star Gladiator Episode I: Final Crusade,2.0,77.35,
Spider-Man: Friend or Foe,1.333333333333333,70.0,4.0
FIFA 15,1.333333333333333,NaN,
Dance Dance Revolution Universe 3,3.333333333333333,NaN,3.0
Harvest Moon: The Tale of Two Towns,2.333333333333333,NaN,3.0
We Sing Pop!,1.666666666666667,59.6666666666667,
Showdown: Legends of Wrestling,5.666666666666667,NaN,5.0
Capcom Classics Collection Remixed,1.333333333333333,70.0,5.0
Reel Fishing: Angler's Dream,1.333333333333333,79.3853026106291,3.0
Call of Duty: Modern Warfare 3,2.0,75.5,6.0
SimCity 4,5.666666666666667,59.2070450534741,3.0
Far East of Eden II,1.333333333333333,66.5,
Sword Art Online: Hollow Fragment,1.333333333333333,35.0,5.0
Star Ocean: Integrity and Faithlessness,5.0,67.8085006454715,5.0
Call of Juarez: The Cartel,3.333333333333333,56.34615384615385,6.0
Full Spectrum Warrior,4.333333333333334,84.51779277481815,6.0
Alvin and the Chipmunks: The Squeakquel,1.333333333333333,NaN,3.0
Taiko no Tatsujin Wii: Minna de Party Sandaime,1.333333333333333,84.5158485894797,
James Bond 007: Legends,1.333333333333333,65.1942971422657,
The Sims 2: Pets,4.0,69.3112189095245,5.0
Dragon Quest Builders,1.333333333333333,80.0,4.0
The Suite Life of Zack & Cody: Circle of Spies,2.0,81.5,
Power Pro-Kun Pocket 2,2.666666666666667,69.9274541384043,
Mega Man ZX,2.333333333333333,76.0533128419579,3.0
Harvest Moon DS Cute,2.666666666666667,NaN,
Power Pro-Kun Pocket 10,8.333333333333332,81.0005675018921,
Wanted: Weapons of Fate,1.333333333333333,52.6,6.0
Finding Nemo: The Continuing Adventures,1.333333333333333,NaN,
Spirit: Stallion of the Cimarron,1.333333333333333,75.0,
Madagascar Kartz,1.0,85.5,3.0
Future Cop L.A.P.D.,1.333333333333333,58.1040975689038,
Guitar Hero: Van Halen,1.333333333333333,74.0,5.0
